"Rank in 
2000",Rank in 2009,Port name,Country,2000,2009,2019,2022
2,1,Singapore,Singapore,"17,040","25,866","25,866",36271
6,2,Shanghai,China,"5,613","25,002",37511,35448
1,3,Hong Kong,China,"18,098","20,983",37551,30150
11,4,Shenzhen,China,"3,994","18,250",46327,32310
3,5,Busan,South Korea,"7,540","11,955",35044,38789
38,6,Guangzhou,China,"1,430","11,190",30704,33921
13,7,Dubai,United Arab Emirates,"3,059","11,124",43930,39591
65,8,Ningbo,China,902,"10,503",45019,36406
24,9,Qingdao,China,"2,120","10,260",41985,34291
5,10,Rotterdam,Netherlands,"6,280","9,743","25,866",31639
32,11,Tianjin,China,"1,708","8,700",41502,39830
4,12,Kaohsiung,Taiwan,"7,426","8,581",35348,35315
12,13,Port Klang,Malaysia,"3,207","7,310",39535,38212
10,14,Antwerp,Belgium,"4,082","7,310",32894,39407
9,15,Hamburg,Germany,"4,248","7,010",37460,39763
7,16,Los Angeles,United States,"4,879","6,749",30357,34752
113,17,Tanjung Pelepas,Malaysia,418,"6,000",36477,36879
8,18,Long Beach,United States,"4,601","5,068",48811,35280
49,19,Xiamen,China,"1,085","4,680","25,866",35796
25,20,Laem Chabang,Thailand,"2,105","4,622",48176,32490
